"","lon","lat"
"830",-0.48149,38.34517
"831",-81.373291,28.545179
"832",-152.23214,57.5789
"833",NA,NA
"834",-118.248405,33.973951
"835",10.5,51.5
"836",NA,NA
"837",-111.887354,33.534451
"838",-79.409117,36.070864
"839",NA,NA
"840",-61.9267,-23.4933
"841",NA,NA
"842",NA,NA
"843",NA,NA
"844",NA,NA
"845",-96.896115,32.926514
"846",NA,NA
"847",NA,NA
"848",NA,NA
"849",-73.992602,40.742185
"850",-74.005973,40.714269
"851",-102,23
"852",-75.4999,43.00035
"853",-120.50139,44.00013
"854",-98.5,39.76
"855",-75.163789,39.952335
"856",-71.24783,42.06538
"857",NA,NA
"858",NA,NA
"859",-75.273796,39.928446
"860",-118.146226,34.491673
"861",NA,NA
"862",NA,NA
"863",-71.64056,10.63167
"864",18.2667,57.05
"865",NA,NA
"866",-58.5389,-34.5167
"867",NA,NA
"868",NA,NA
"869",-79.4163,43.70011
"870",-77.5,-2
"871",-74.005973,40.714269
"872",NA,NA
"873",-85,13
"874",-44.3322,-23.0276
"875",NA,NA
"876",-48.54917,-27.59667
"877",-79.4163,43.70011
"878",NA,NA
"879",-82.582035,27.996097
"880",-71.10832,42.36565
"881",99.82203,8.39102
"882",NA,NA
"883",NA,NA
"884",NA,NA
"885",9,34
"886",-96.919704,29.845783
"887",NA,NA
"888",-118.248405,33.973951
"889",NA,NA
"890",-74.72815,45.01809
"891",-71,-30
"892",-93.600254,42.037879
"893",27.13838,38.41273
"894",19.5,48.66667
"895",-122.135862,38.244889
"896",-115.14666,36.09719
"897",-85.697211,38.333402
"898",NA,NA
"899",122,13
"900",-56.09667,-15.59611
"901",NA,NA
"902",-80.19366,25.77427
"903",NA,NA
"904",-103.39182,20.66682
"905",-89.990415,35.169255
"906",NA,NA
"907",NA,NA
"908",NA,NA
"909",NA,NA
"910",-91.8749,31.1801
"911",5.75,52.5
"912",NA,NA
"913",NA,NA
"914",NA,NA
"915",2.36667,51.05
"916",NA,NA
"917",2.3488,48.85341
"918",NA,NA
"919",NA,NA
"920",-122.111126,37.052748
"921",-111.82264,33.422269
"922",NA,NA
"923",-79.4163,43.70011
"924",NA,NA
"925",-99.1,19.33333
"926",3.05858,50.63297
"927",-87.65005,41.85003
"928",-99.25061,31.25044
"929",NA,NA
"930",2.3488,48.85341
"931",-3.70256,40.4165
"932",-96.91667,19.53333
"933",NA,NA
"934",NA,NA
"935",NA,NA
"936",-46.63611,-23.5475
"937",12.83333,42.83333
"938",-79.409117,36.070864
"939",-103.39182,20.66682
"940",NA,NA
"941",NA,NA
"942",NA,NA
"943",-82.530653,27.336435
"944",NA,NA
"945",-2.69531,54.75844
"946",NA,NA
"947",-61.9267,-23.4933
"948",-64.26149,-27.79511
"949",NA,NA
"950",-81.00009,34.00043
"951",25,46
"952",NA,NA
"953",NA,NA
"954",-87.65005,41.85003
"955",-118.021353,35.125624
"956",NA,NA
"957",NA,NA
"958",NA,NA
"959",-2.45974,36.83814
"960",-73.58781,45.50884
"961",-99.25061,31.25044
"962",NA,NA
"963",2.15899,41.38879
"964",-88.533107,34.632922
"965",NA,NA
"966",-115.13722,36.17497
"967",NA,NA
"968",-0.1278328,51.5072648
"969",NA,NA
"970",-97.258997,37.651974
"971",-91.5578,33.981735
"972",NA,NA
"973",NA,NA
"974",-2.69531,54.75844
"975",-98.5,39.76
"976",NA,NA
"977",NA,NA
"978",NA,NA
"979",NA,NA
"980",NA,NA
"981",-97.997166,29.972907
"982",-100.31846,25.67506
"983",-118.303805,33.835665
"984",NA,NA
"985",-87.650052,41.850033
"986",-74.033934,40.746851
"987",-3.60667,37.18817
"988",NA,NA
"989",-84.891015,39.152741
"990",NA,NA
"991",-71.121185,42.179146
"992",-47.92972,-15.77972
"993",12.83333,42.83333
"994",-55,-10
"995",-55,-10
"996",-118.021353,35.125624
"997",-67.883074,44.538526
"998",-79.84963,43.25011
"999",-84.47405,33.844371
"1000",-51.06639,0.03889
"1001",-82.5001,28.75054
"1002",NA,NA
"1003",NA,NA
"1004",9.14062,48.69096
"1005",NA,NA
"1006",-74.005973,40.714269
"1007",NA,NA
"1008",-8,53
"1009",24.15,45.8
"1010",NA,NA
"1011",135.36667,34.46667
"1012",-98.5,39.76
"1013",NA,NA
"1014",NA,NA
"1015",NA,NA
"1016",-43.2075,-22.90278
"1017",-118.24368,34.05223
"1018",31.3167,40.2
"1019",28.04363,-26.20227
"1020",-109.67853,48.55417
"1021",-110.895188,31.932883
"1022",-87.65005,41.85003
"1023",-98.5,39.76
"1024",-76.623489,39.296536
"1025",NA,NA
"1026",-55,-10
"1027",-152.23214,57.5789
"1028",-73.92847,41.50954
"1029",-76.1496,45.1953
"1030",-95.309789,29.813142
"1031",NA,NA
"1032",-71,-30
"1033",-103.39182,20.66682
"1034",16.37208,48.20849
"1035",NA,NA
"1036",22,39
"1037",-2.9805393,53.4054719
"1038",NA,NA
"1039",NA,NA
"1040",NA,NA
"1041",-80.804151,35.26002
"1042",-99.82811,28.67748
"1043",-0.728004,52.3994233
"1044",NA,NA
"1045",NA,NA
"1046",-45.88694,-23.17944
"1047",-87.650052,41.850033
"1048",-97.771258,30.326374
"1049",-114.25118,44.5002
"1050",NA,NA
"1051",25,57
"1052",-80.804151,35.26002
"1053",NA,NA
"1054",-46.63611,-23.5475
"1055",35.83333,33.83333
"1056",NA,NA
"1057",-97.507599,35.58672
"1058",-74.619323,40.214554
"1059",-4,40
"1060",-66,8
"1061",NA,NA
"1062",NA,NA
"1063",NA,NA
"1064",27.5,63
"1065",NA,NA
"1066",NA,NA
"1067",NA,NA
"1068",-46.39194,-23.96306
"1069",NA,NA
"1070",-48.36028,-10.21278
"1071",NA,NA
"1072",139.69171,35.6895
"1073",-84,10
"1074",NA,NA
"1075",NA,NA
"1076",NA,NA
"1077",NA,NA
"1078",NA,NA
"1079",NA,NA
"1080",-115.174211,36.296908
"1081",-77.6995,48.31688
"1082",-86.801904,33.456412
"1083",-77.329906,38.892796
"1084",NA,NA
"1085",-3.70256,40.4165
"1086",-75.713185,41.382529
"1087",NA,NA
"1088",-99.12766,19.42847
"1089",NA,NA
"1090",NA,NA
"1091",-18,65
"1092",NA,NA
"1093",-71,-30
"1094",NA,NA
"1095",NA,NA
"1096",-99.06601,19.61725
"1097",NA,NA
"1098",-99.12766,19.42847
"1099",NA,NA
"1100",NA,NA
"1101",-46.63611,-23.5475
"1102",35.83333,33.83333
"1103",NA,NA
"1104",-4,40
"1105",NA,NA
"1106",NA,NA
"1107",NA,NA
"1108",-70.19957,11.6956
"1109",NA,NA
"1110",NA,NA
"1111",NA,NA
"1112",NA,NA
"1113",68.66398,37.34812
"1114",22,39
"1115",-72,4
"1116",NA,NA
"1117",-76.904972,38.885867
"1118",22,39
"1119",-66.87919,10.48801
"1120",NA,NA
"1121",NA,NA
"1122",-118.248405,33.973951
"1123",2.15899,41.38879
"1124",NA,NA
"1125",NA,NA
"1126",-102,23
"1127",NA,NA
"1128",NA,NA
"1129",-66.87919,10.48801
"1130",14.6529,58.2295
"1131",NA,NA
"1132",0.3665169,51.7816441
"1133",-100.31846,25.67506
"1134",NA,NA
"1135",-4.42034,36.72016
"1136",NA,NA
"1137",-55,-10
"1138",-98.5,39.76
"1139",-98.5,39.76
"1140",-98.5,39.76
"1141",6.95,50.93333
"1142",-80.088392,40.511615
"1143",NA,NA
"1144",-106.00085,34.50034
"1145",NA,NA
"1146",-71.10832,42.36565
"1147",-80.804151,35.26002
"1148",-85,13
"1149",-66.49989,18.24829
"1150",NA,NA
"1151",3.02004,39.61362
"1152",-77.036366,38.895112
"1153",-86.2604,39.8647
"1154",NA,NA
"1155",NA,NA
"1156",-95,60
"1157",28.65,44.18333
"1158",NA,NA
"1159",NA,NA
"1160",NA,NA
"1161",NA,NA
"1162",NA,NA
"1163",NA,NA
"1164",NA,NA
"1165",NA,NA
"1166",NA,NA
"1167",NA,NA
"1168",NA,NA
"1169",-77.02824,-12.04318
"1170",-0.1278328,51.5072648
"1171",NA,NA
"1172",-58.5389,-34.5167
"1173",-58.25265,-34.72418
"1174",NA,NA
"1175",NA,NA
"1176",NA,NA
"1177",12.83333,42.83333
"1178",NA,NA
"1179",NA,NA
"1180",-77.036366,38.895112
"1181",NA,NA
"1182",-122.727802,37.784827
"1183",-76.904972,38.885867
"1184",-3.93333,38.98333
"1185",76.5,10
"1186",-76.579836,39.170158
"1187",NA,NA
"1188",NA,NA
"1189",NA,NA
"1190",NA,NA
"1191",NA,NA
"1192",2,46
"1193",NA,NA
"1194",-3.70256,40.4165
"1195",-120.50147,47.50012
"1196",-57.33333,-25.38333
"1197",NA,NA
"1198",NA,NA
"1199",8.73462,41.92723
"1200",-16.25462,28.46824
"1201",NA,NA
"1202",NA,NA
"1203",NA,NA
"1204",-118.021353,35.125624
"1205",NA,NA
"1206",-79.02998,-8.11599
"1207",-77.036366,38.895112
"1208",30.39278,-29.61678
"1209",-4,40
"1210",-4,40
"1211",NA,NA
"1212",-46.63611,-23.5475
"1213",-118.381697,34.093828
"1214",NA,NA
"1215",NA,NA
"1216",-67.859167,44.507856
"1217",NA,NA
"1218",-40.37696,-3.92113
"1219",-92.267094,34.769536
"1220",-74.005973,40.714269
"1221",NA,NA
"1222",NA,NA
"1223",-3.69063,40.42526
"1224",NA,NA
"1225",1.64448,50.304
"1226",NA,NA
